Resource Title,Resource URL,Publisher,Country,,Description,First L2 Tag,Second L2 Tag,Third L2 Tag,Vetter,Reviewed?,L2 Tagger,Technical (Y/N),Notes
Non-steroidal anti-inflammatory drug use and outcomes of COVID ...,https://www.thelancet.com/journals/lanrhe/article/PIIS2665-9913(21)00104-1/fulltext,The Lancet,General,,"We aimed to characterise the safety of NSAIDs and identify whether pre-existing 
NSAID use was associated with increased severity of COVID-19 disease. 
Methods.",Medical Research,Treatment,,Bot,,LO/CG,,Not sure what other categories to add here?
Global Incidence of Neurological Manifestations Among Patients ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779759,JAMA,US,,"This cohort study investigates the neurological phenotypes, incidence, and 
outcomes among adults hospitalized with COVID-19.",Symptoms,Epidemiology,Long Term Effects,Bot,,LO,,
Missing the Point — How Primary Care Can Overcome Covid-19 ...,https://www.nejm.org/doi/full/10.1056/NEJMp2106137,New England Journal of Medicine,General,"5/4/2021, 5:00:00 PM","By the end of April 2021, the United States had fully vaccinated just under a third 
of its population against Covid-19. Initial federal and state vaccination ...",Vaccine Distribution in the US,Vaccine,Treatment,Bot,,LO,,
COVID-19 vaccine impact in Israel and a way out of the pandemic ...,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01018-7/fulltext,The Lancet,General,"5/5/2021, 12:00:00 AM","In December, 2020, Israel initiated a national campaign to vaccinate its 
population with Pfizer–BioNTech's mRNA COVID-19 vaccine BNT162b2 (
tozinameran).",International Vaccine Distribution,Vaccine,Government Response,Bot,,LO,,
Non-steroidal anti-inflammatory drug use in COVID-19 - The Lancet ...,https://www.thelancet.com/journals/lanrhe/article/PIIS2665-9913(21)00144-2/fulltext,The Lancet,General,,"Early in the COVID-19 pandemic, there was concern in the media that the use of 
non-steroidal anti-inflammatory drugs (NSAIDs), particularly ibuprofen, might ...",Medical Research,,,Bot,,LO,,Not sure what other categories to add here?
It's Time to Reevaluate How We Talk about COVID Risk - Scientific ...,https://www.scientificamerican.com/article/its-time-to-reevaluate-how-we-talk-about-covid-risk/,Scientific American,US,2021-05-10,"When COVID first began to shut down the United States, I feared how single 
people who live alone like me would be expected to just suck it up and deal with 
a ...",Mental Health,Risk,Opinion,Bot,,LO,,Needs a TW
Mass-Vaccination Sites — An Essential Innovation to Curb the Covid ...,https://www.nejm.org/doi/full/10.1056/NEJMp2102535,New England Journal of Medicine,General,"3/9/2021, 4:00:00 PM","Mass-Vaccination Sites Covid-19 vaccination poses challenges that complicate 
the traditional reliance on primary care delivery. Mass-vaccination sites offer a ...",Vaccine,Vaccine Distribution in the US,Government Response,Bot,,LO,,
Antibody Response to 2-Dose SARS-CoV-2 mRNA Vaccine Series ...,https://jamanetwork.com/journals/jama/fullarticle/2779852,JAMA,US,"5/5/2021, 12:00:00 AM","Transplant recipients without prior polymerase chain reaction–confirmed COVID-
19 were recruited from across the US to participate in this prospective cohort ...",Vaccine,Vulnerable Populations,Immunity,Bot,,LO,,
"3-month, 6-month, 9-month, and 12-month respiratory outcomes in ...",https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(21)00174-0/fulltext,The Lancet,General,"5/5/2021, 12:00:00 AM","In this prospective, longitudinal, cohort study, patients admitted to hospital for 
severe COVID-19 who did not require mechanical ventilation were prospectively
 ...",Long Term Effects,Medical Research,,Bot,,LO,,
Applying prospective genomic surveillance to support investigation ...,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00251-6/fulltext,The Lancet,General,,"CUH experienced a substantial second wave of COVID-19 (figure). Between Nov 
2, 2020, and Feb 7, 2021, 162 (14%) of 1178 patients with COVID-19 at CUH ...",SARS-CoV-2 Variants,Medical Research,,Bot,,LO,,
Coronavirus (COVID-19) | JAMA Network,https://jamanetwork.com/collections/46099/coronavirus-covid-19,JAMA,US,2021-05-14,"This Medical News article discusses attacks against health care workers since 
the COVID-19 pandemic began and ways to prevent some of these incidents.",,,,Bot,,LO,,Mismatch in description and title/link
"The Lancet, 08 May 2021, Volume 397, Issue 10286, Pages 1683 ...",https://www.thelancet.com/journals/lancet/issue/current,The Lancet,General,2021-01-01,"COVID-19 vaccine coverage in health-care workers in England and effectiveness 
of BNT162b2 mRNA vaccine against infection (SIREN): a prospective, ...",Vaccine,SARS-CoV-2 Variants,Healthcare Workers,Bot,,LO,,Title off
Audio Interview: India's Covid-19 Crisis | NEJM,https://www.nejm.org/doi/full/10.1056/NEJMe2107728,New England Journal of Medicine,General,"5/4/2021, 5:00:00 PM","India's Covid-19 Crisis In this audio interview conducted on May 4, 2021, the 
editors are joined by Mumbai pulmonologist Zarir Udwadia, who assesses the ...",Diagnostic Tools,Podcast,,Bot,,LO,,
BNT162b2 mRNA Covid-19 Vaccine Effectiveness among Health ...,https://www.nejm.org/doi/full/10.1056/NEJMc2101951,New England Journal of Medicine,General,,"Covid-19–associated isolation and quarantine of health care workers place 
additional burdens on health care services. Since the introduction of vaccines, ...",Healthcare Workers,Vaccine,,Bot,,LO,,
"COVID, Quickly, Episode 6: The Real Reason for India's Surge and ...",https://www.scientificamerican.com/podcast/episode/covid-quickly-episode-6-the-real-reason-for-indias-surge-and-mask-liftoff/,Scientific American,US,2021-05-07,"COVID, Quickly, Episode 6: The Real Reason for India's Surge and Mask Liftoff. 
Credit: Ryan Reid. Today we bring you a new episode in our podcast series: ...",Personal Protective Equipment,Podcast,,Bot,,LO,,
COVID-19 Collection,https://www.thelancet.com/coronavirus/collection,The Lancet,General,,"The Lancet family of journals publishes the latest COVID-19 related content 
across epidemiology, treatments, vaccines and much more. Here you can 
explore ...",Not an article,,,Bot,,LO/CG,,Not an article
"Impact of COVID-19 on diagnoses, monitoring, and mortality in ...",https://www.thelancet.com/journals/landia/article/PIIS2213-8587(21)00116-9/fulltext,The Lancet,General,"5/11/2021, 12:00:00 AM","At the time of writing (May, 2021), there have been more than 127 000 COVID-
related deaths in the UK, with disproportionate effects in people with diabetes. 
Early ...",Risk,Vulnerable Populations,,Bot,,LO,,
Report of the Independent Panel for Pandemic Preparedness and ...,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01095-3/fulltext?rss=yes,The Lancet,General,"5/12/2021, 12:00:00 AM","In May, 2020, with COVID-19 affecting just about every country on the planet, the 
World Health Assembly requested the WHO Director-General to initiate an ...",Government Response,International Relations,,Bot,,LO,,
Post-acute conditions of patients with COVID-19 not requiring ...,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00225-5/fulltext,The Lancet,General,"5/10/2021, 12:00:00 AM","As of early April, 2021, more than 2·8 million individuals have died globally from 
COVID-19. · In The Lancet Infectious Diseases, Lars Christian Lund and ...",Long Term Effects,Healthcare,,Bot,,LO,,
Asymptomatic and Symptomatic SARS-CoV-2 Infections After ...,https://jamanetwork.com/journals/jama/fullarticle/2779854,JAMA,US,2021-04-05,"Individuals with prior COVID-19 exposure were excluded. When asymptomatic 
infections were analyzed, symptomatic and known exposure cases were treated
 ...",Vaccine,Symptoms,,Bot,,LO,,
Food policies: in times of COVID-19 and beyond - The Lancet ...,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(21)00123-6/fulltext,The Lancet,General,"5/7/2021, 12:00:00 AM","3 billion people were not able to afford a healthy diet before the COVID-19 
pandemic and this number is estimated to rise by 267·6 million between 2020 
and ...",Government Response,Food Insecurity,,Bot,,LO,,
Researchers Tie Severe Immunosuppression to Chronic COVID-19 ...,https://jamanetwork.com/journals/jama/fullarticle/2779850,JAMA,US,"5/5/2021, 12:00:00 AM","Physicians are now grappling with how best to treat COVID-19 in severely 
immunosuppressed patients without encouraging treatment-resistant variants to 
emerge ...",Vulnerable Populations,Long Term Effects,,Bot,,LO,,
Precision Medicine for COVID-19: Phenotype Anarchy or Promise ...,https://jamanetwork.com/journals/jama/fullarticle/2779924,JAMA,US,"5/7/2021, 12:00:00 AM","These subtypes range from simple classifications such as the H or L phenotypes 
of COVID-19–related acute respiratory distress syndrome to emerging groups ...",Medical Research,Symptoms,Opinion,Bot,,LO,,
An integrated understanding of long-term sequelae after acute ...,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(21)00206-X/fulltext,The Lancet,General,"5/5/2021, 12:00:00 AM","followed up 83 survivors of severe COVID-19 pneumonia for pulmonary functions 
using spirometry and diffusing capacity of the lungs for carbon monoxide (DLCO)
 ...",Long Term Effects,Symptoms,,Bot,,LO,,
COVID's Outsize Impact on Asian Americans Is Being Ignored ...,https://www.scientificamerican.com/article/covids-outsize-impact-on-asian-americans-is-being-ignored/,Scientific American,US,2021-05-06,"Yet reports show that Asian Americans and Pacific Islanders (AAPIs) suffer from 
disproportionately high COVID death rates and hospitalizations. To make matters
 ...",Vulnerable Populations,Opinion,,Bot,,LO,,
COVID-19 and the Blitz compared: mental health outcomes in the ...,https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(21)00118-8/fulltext,The Lancet,General,"5/11/2021, 12:00:00 AM","Introduction. Because of its threat to the civilian population, the Blitz has become 
a reference during the COVID-19 pandemic, cited by politicians and by ...",Mental Health,,,Bot,,LO,,
Changes in US Medicaid Enrollment During the COVID-19 ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779458,JAMA,US,"5/3/2021, 12:00:00 AM","The COVID-19 pandemic has led to unemployment among millions of US adults. 
Research shows that the Patient Protection and Affordable Care Act and ...",Healthcare,,,Bot,,LO,,
Mental health responses to the COVID-19 pandemic: a latent class ...,https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(21)00151-6/fulltext,The Lancet,General,"5/6/2021, 12:00:00 AM","The mental health of the UK population declined at the onset of the COVID-19 
pandemic. Convenience sample surveys indicate that recovery began soon after.",Mental Health,,,Bot,,LO,,
No-fault compensation schemes for COVID-19 medical products ...,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00784-4/fulltext,The Lancet,General,"5/8/2021, 12:00:00 AM","Although the USA is covering COVID-19 vaccine-associated adverse events with 
the US Countermeasures Injury Compensation Program (CICP) for the ...",Vaccine,,,Bot,,LO,,This article seems overly confusing to me
An Inside Look at a Post–COVID-19 Clinic | Infectious Diseases ...,https://jamanetwork.com/journals/jama/fullarticle/2779851,JAMA,US,"5/5/2021, 12:00:00 AM","In this Medical News article, Aluko Hope, MD, former co-director of the Montefiore
-Einstein Department of Medicine's COVID-19 Recovery Clinic, discusses how ...",Long Term Effects,Healthcare,,Bot,,LO,,
Priorities for COVID-19 research response and preparedness in low ...,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00980-6/fulltext,The Lancet,General,"5/6/2021, 12:00:00 AM","COVID-19 poses particular threats in low-resource settings, which typically have 
underfunded health-care systems and insufficient influence on the global health ...",International Relations,Medical Research,,Bot,,LO,,
COVID-19 surge threatens health in the Gaza strip - The Lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01055-2/fulltext,The Lancet,General,"5/8/2021, 12:00:00 AM","Sharmila Devi reports. The Gaza Strip is grappling with a surge in COVID-19 
cases, with shortages of medicines and intensive care capacity leading the ...",International Vaccine Distribution,SARS-CoV-2 Variants,,Bot,,LO,,
UK guidelines for managing long-term effects of COVID-19 - The ...,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00847-3/fulltext,The Lancet,General,"5/8/2021, 12:00:00 AM","Patient feedback raised the concern that the term long COVID implied ongoing 
infectivity, for which there is no evidence. The panel did not consider that there 
was ...",Scientific Guidelines,Long Term Effects,,Bot,,LO,,
The current issue of JAMA | JAMA Network,https://jamanetwork.com/journals/jama/currentissue,JAMA,US,2021-05-14,"This Medical News article discusses attacks against health care workers since 
the COVID-19 pandemic began and ways to prevent some of these incidents. 
News ...",,,,Bot,,LO,,Not an article
JAMA Network | Home of JAMA and the Specialty Journals of the ...,https://jamanetwork.com/,JAMA,US,2021-01-01,"Explore the latest in medicine including coronavirus (COVID-19) science, blood 
pressure guidelines, sepsis definitions, autism and cancer science, and more.",Database,,,Bot,,LO,,
Audio Interview: The New England Journal of Medicine,https://www.nejm.org/multimedia/audio-interview,New England Journal of Medicine,General,,"Advice for Clinicians on Covid-19 Vaccines and Social RestrictionsRubin E.J., 
Baden L.R., and Morrissey S.|N Engl J Med 2021; 384:e77 · PerspectiveApr 29, ...",Vaccine,,,Bot,,LO,,Link is off
"COVID, Quickly, Episode 6: The Real Reason for India's Surge, and ...",https://www.scientificamerican.com/podcast/episode/covid-quickly-episode-6-the-real-reason-for-indias-surge-and-u-s-mask-liftoff/,Scientific American,US,2021-05-07,"Today we bring you a new episode in our podcast series: COVID, Quickly. Every 
two weeks, Scientific American's senior health editors Tanya Lewis and Josh ...",Podcast,Personal Protective Equipment,SARS-CoV-2 Variants,Bot,,LO,,
Factors associated with deaths due to COVID-19 versus other ...,https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00086-7/fulltext,The Lancet,General,"7/1/2021, 12:00:00 AM","Mortality from COVID-19 shows a strong relationship with age and pre-existing 
medical conditions, as does mortality from other causes. We aimed to investigate
 ...",Vulnerable Populations,Mortality,,Bot,,LO,,
Political neglect of COVID-19 and the public health consequences in ...,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00158-9/fulltext,The Lancet,General,"5/1/2021, 12:00:00 AM","The lack of federal government leadership is leading state governors to negotiate 
and purchase COVID-19 vaccines within a consortium of governors, facing ...",Government Responses,Vaccine,International Vaccine Distribution,Bot,,LO,,
Vaccination | JAMA Network,https://jamanetwork.com/collections/5950/vaccination,JAMA,US,2021-05-13,"This study quantifies antispike protein antibody responses to first-dose 
messenger RNA (mRNA) COVID-19 vaccines in solid organ transplant recipients 
to better ...",Database,Vaccine,,Bot,,LO,,description is off
Even Partial COVID-19 Vaccination Protects Nursing Home ...,https://jamanetwork.com/journals/jama/fullarticle/2779817,JAMA,US,"5/11/2021, 12:00:00 AM","A CDC analysis has shown that a single dose of the Pfizer-BioNTech COVID-19 
vaccine protected medically vulnerable nursing home residents as well as it did ...",Vaccine,Risk,Elderly,Bot,,LO,,
New online first articles from JAMA,https://jamanetwork.com/journals/jama/newonline,JAMA,US,2021-05-11,"In this Medical News article, Aluko Hope, MD, former co-director of the Montefiore
-Einstein Department of Medicine's COVID-19 Recovery Clinic, discusses how ...",,,,Bot,,LO,,Not an article
An Inside Look at a Post–COVID-19 Clinic | Coronavirus (COVID-19 ...,https://jamanetwork.com/learning/audio-player/18608245,JAMA,US,,"COVID-19 leaves some people with a troubling constellation of symptoms that 
has been known as long-haul COVID but now has a more formal name: 
postacute ...",Long Term Effects,Podcast,,Bot,,LO,,
Can glucose-lowering drugs affect the prognosis of COVID-19 in ...,https://www.thelancet.com/pdfs/journals/landia/PIIS2213-8587(21)00059-0.pdf,The Lancet,General,,"People with diabetes and related comorbidities are at increased risk of severe. 
COVID-19 complications, and COVID-19-related mortality in this population is 
two ...",Diabetes,Vulnerable Populations,Mortality,Bot,,LO,,
Interplay between Emerging SARS-CoV-2 Variants and Pandemic ...,https://www.nejm.org/doi/full/10.1056/NEJMe2103931,New England Journal of Medicine,General,"5/4/2021, 5:00:00 PM","No severe cases of Covid-19 were identified in either the vaccine group or the 
placebo group, so efficacy against that important end point could not be ...",SARS-CoV-2 Variants,Vaccine,Risk,Bot,,LO,,
"The COVID-19 pandemic, Black mistrust, and a path forward ...",https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00148-6/fulltext,The Lancet,General,"5/1/2021, 12:00:00 AM","As Black Emergency Room physicians, we've had a front row view as COVID-19 
has ravaged our community, disproportionately killing African-Americans, ...",Healthcare,Racism,Racial Inequality,Bot,,LO,,
Quick Take Videos: The New England Journal of Medicine,https://www.nejm.org/multimedia/quick-take-video,New England Journal of Medicine,General,,"S Vaccine against Covid-19 Quick Take Single-Dose Ad26.COV2.S Vaccine 
against Covid-19 02:17 Apr 21. Showing 1-20 of 327 Quick Takes. Most Recent.",,,,Bot,,LO,,Not an article
JAMA Otolaryngology – Head & Neck Surgery,https://jamanetwork.com/journals/jamaotolaryngology,JAMA,US,2021-05-13,"Complications of COVID-19 Nasopharyngeal Swab Test. Anni Koskinen, MD, 
PhD; et ...",,,,Bot,,LO,,Not an article
Structural racism and social distancing: Implications for COVID-19 ...,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00149-8/fulltext,The Lancet,General,"5/1/2021, 12:00:00 AM","Few studies have examined the association between fundamental causes of 
health inequities, such as structural racism, and COVID-19 health outcomes.",Racial Inequality,Opinion,Risk,Bot,,LO,,
"Risk, Racial Disparity, and Outcomes Among Patients With Cancer ...",https://jamanetwork.com/journals/jamaoncology/fullarticle/2779526,JAMA,US,"5/6/2021, 12:00:00 AM","We avoided deriving strong conclusions regarding the direct associations among 
cancers, COVID-19 susceptibility, and severe outcomes owing to inherent ...",Vulnerable Populations,Racial Inequality,Risk,Bot,,LO,,
"Risk, Racial Disparity, and Outcomes Among Patients With Cancer ...",https://jamanetwork.com/journals/jamaoncology/fullarticle/2779528,JAMA,US,"5/6/2021, 12:00:00 AM","Hospitalizations/deaths may have occurred several months after vs during or 
immediately following COVID-19 infection and be unrelated to infection, making 
this ...",,,,Bot,,LO,,REPEAT
"Risk, Racial Disparity, and Outcomes Among Patients With Cancer ...",https://jamanetwork.com/journals/jamaoncology/fullarticle/2779527,JAMA,US,"5/6/2021, 12:00:00 AM","In a single-center, pre–COVID-19 analysis of patients with KRS of 2 or greater, 
none received thromboprophylaxis, and a survey of oncology clinicians found 
that ...",,,,Bot,,LO,,REPEAT
Association Between Vaccination With BNT162b2 and Incidence of ...,https://jamanetwork.com/journals/jama/fullarticle/2779853,JAMA,US,2021-02-23,"The BNT162b2 COVID-19 vaccine manufactured by Pfizer and BioNTech 
demonstrated 95% efficacy in preventing symptomatic SARS-CoV-2 infection in a
 ...",Vaccine,SARS-CoV-2 Variants,,Bot,,LO,,
JAMA Internal Medicine – Improving Health and Health Care,https://jamanetwork.com/journals/jamainternalmedicine,JAMA,US,2021-05-10,"Fitted Filtration Efficiency of Double Masking During the COVID-19 Pandemic. 
34,061 Views. Association of Facial Paralysis With mRNA COVID-19 Vaccines.",,,,Bot,,LO,,Not an article
Commentary articles: The New England Journal of Medicine,https://www.nejm.org/medical-articles/commentary,New England Journal of Medicine,General,,"Clinical Implications of Basic ResearchApr 22, 2021Preparing for the Future — 
Nanobodies for Covid-19? Sasisekharan R. ... |N Engl J Med 2021; 384:1568-
1571 ...",,,,Bot,,LO,,Not an article
Autoimmune Disease articles: The New England Journal of Medicine,https://www.nejm.org/medical-articles/?topic=18&sort=date&subtopic=19_3&page=0,New England Journal of Medicine,General,,"Salwa J. and Robertson C.|N Engl J Med 2021; 384:1684-1687The Covid-19 
pandemic has revealed the importance of having trustworthy and competent ...",,,,Bot,,LO,,Not an article
COVID-19 Home Monitoring After Diagnosis and Health Care ...,https://jamanetwork.com/journals/jama-health-forum/fullarticle/2779695,JAMA,US,2021-05-06,"The COVID-19 HMP was associated with lower odds of hospitalization, 
particularly for the posthospital or ED subgroup, with no significant association 
with ED ...",Home Care,Medical Research,,Bot,,LO,,
The Great Escape—A Physician Confronts Family Caregiving ...,https://jamanetwork.com/journals/jamaneurology/fullarticle/2779916,JAMA,US,"5/10/2021, 12:00:00 AM","My mother died as the COVID-19 pandemic raced across the nation with wildfire 
ferocity. At age 92 years, she was frail and living with advancing dementia.",Home Care,Opinion,Healthcare,Bot,,LO,,
Nature - Scientific American,https://www.scientificamerican.com/section/nature/,Scientific American,US,2021-05-10,"Failure of Genetic Therapies for Huntington's Devastates Community · In 
Shocking Move, U.S. Backs Waiving Patents on COVID Vaccines · The First 
Billion COVID ...",,,,Bot,,LO,,Not an article
"JAMA Oncology – Cancer Treatment, Genetics, & Prevention",https://jamanetwork.com/journals/jamaoncology,JAMA,US,2021-05-13,"Association of Cancer Screening Deficit in the United States With the COVID-19 
Pandemic. Ronald C. Chen, MD, MPH; et al. Original Investigation. online first ...",Database,,,Bot,,LO,,description mismatch
Editorial articles: The New England Journal of Medicine,https://www.nejm.org/medical-articles/editorial,New England Journal of Medicine,General,,"EditorialMay 06, 2021Audio Interview: India's Covid-19 Crisis Rubin E.J., Baden 
L.R., Udwadia Z.F., and Morrissey S.|N Engl J Med 2021; 384:e84In this audio ...",,,,Bot,,LO,,not an article
Infectious disease articles: The New England Journal of Medicine,https://www.nejm.org/infectious-disease,New England Journal of Medicine,General,,"Most Viewed in Infectious Disease. Correspondence May 5, 2021. Effectiveness 
of the BNT162b2 Covid-19 Vaccine against the B.1.1.7 and B.1.351 Variants",,,,Bot,,LO,,not an article
Opinion - Scientific American,https://www.scientificamerican.com/section/opinion/,Scientific American,US,2021-05-10,"It's Time to Reevaluate How We Talk about COVID Risk. It exists on a ... COVID's 
Outsize Impact on Asian Americans Is Being Ignored. Along with Pacific ...",,,,Bot,,LO,,not an article
JAMA Dermatology – The Latest in the Science of Skin Disorders,https://jamanetwork.com/journals/jamadermatology,JAMA,US,2021-05-12,"Home New Online Issues For Authors. Editor's Choice: Dermatology and COVID-
19 · Topical Corticosteroids and Risk of Newborns Being Small for Gestational ...",,,,Bot,,LO,,not an article
The current issue of JAMA Network Open | JAMA Network,https://jamanetwork.com/journals/jamanetworkopen/currentissue,JAMA,US,2021-05-14,"This cohort study investigates the neurological phenotypes, incidence, and 
outcomes among adults hospitalized with COVID-19. open access. JAMA Netw 
Open.",,,,Bot,,LO,,not an article
Research articles: The New England Journal of Medicine,https://www.nejm.org/medical-articles/research,New England Journal of Medicine,General,,"... after surgery, including in patients with diabetes mellitus. Original ArticleMay 
05, 2021Efficacy of NVX-CoV2373 Covid-19 Vaccine against the B.1.351 Variant",,,,Bot,,LO,,not an article
Renin-Angiotensin-Aldosterone Inhibitors and Susceptibility to and ...,https://jamanetwork.com/journals/jama/articlepdf/2767668/jama_curfman_2020_en_200006.pdf,JAMA,US,,"In this way, the physiological action of ACE2 counters the physiological action of 
ACE. Early in the COVID-19 pandemic, physicians observed that patients with ...",Vulnerable Populations,Symptoms,,Bot,,LO,,think this is overly confusing
Public Health - Scientific American,https://www.scientificamerican.com/public-health/,Scientific American,US,2021-05-10,"COVID, Quickly, Episode 6: The Real Reason for India's Surge and Mask Liftoff. 
Today we ... In Shocking Move, U.S. Backs Waiving Patents on COVID Vaccines.",,,,Bot,,LO,,not an article
Perspective articles: The New England Journal of Medicine,https://www.nejm.org/medical-articles/perspective,New England Journal of Medicine,General,,"Goralnick E., Kaufmann C., and Gawande A.A.|N Engl J Med 2021; 384:e67
Covid-19 vaccination poses challenges that complicate the traditional reliance on
 ...",,,,Bot,,LO,,not an article
"Scientific American: Science News, Expert Analysis, Health ...",https://www.scientificamerican.com/,Scientific American,US,2021-05-10,"COVID, Quickly, Episode 6: The Real Reason for India's Surge and Mask Liftoff. 
60-Second Science - May 7, 2021 - By Josh Fischman, Tanya Lewis and Jeffery ...",,,,Bot,,LO,,not an article
Coronavirus News Roundup: May 1–May 7 - Scientific American,https://www.scientificamerican.com/article/coronavirus-news-roundup-may-1-may-7/,Scientific American,US,2021-05-07,"A lot of the findings so far on how people with suppressed immune systems 
respond to COVID-19 vaccines focus on antibody production, not T-cell 
production, ( ...",Vaccine,SARS-CoV-2 Variants,Vaccine Hesitancy,Bot,,LO,,seems out of date?
"Thymol, the New Antiseptic | NEJM",https://www.nejm.org/doi/full/10.1056/NEJM187811280992202,New England Journal of Medicine,General,"6/5/2010, 5:00:00 PM","Effectiveness of the BNT162b2 Covid-19 Vaccine against the B.1.1.7 and B.1.351 
Variants L. J. Abu-Raddad and Others · Original Article Apr 21, 2021",,,,Bot,,LO,,this article is not about covid and is from 1878??
Pulmonary/Critical Care articles: The New England Journal of ...,https://www.nejm.org/pulmonary?topic=12&q=*&page=5,New England Journal of Medicine,General,,"The Severe Covid-19 GWAS Group|N Engl J Med 2020; 383:1522-1534Severe 
acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was discovered in ...",,,,Bot,,LO,,not an article
Post-acute effects of SARS-CoV-2 infection in individuals not ...,https://www.thelancet.com/journals/laninf/article/PIIS1473-30992100211-5/fulltext,The Lancet,General,"5/10/2021, 12:00:00 AM","Individuals admitted to hospital for COVID-19 might have persisting symptoms (
so-called long COVID) and delayed complications after discharge. However, little
 ...",Long Term Effects,,,Bot,,LO,,
